7b-128k,128000,0.1,0.8351063829787234,3.3404255319148937
7b-128k,128000,0.1,0.9302325581395349,3.7209302325581395
7b-128k,128000,0.1,0.7755102040816326,3.1020408163265305
7b-128k,128000,0.1,0.8532608695652174,3.4130434782608696
7b-128k,128000,0.1,1.0,4.0
7b-128k,128000,0.1,0.7857142857142857,3.142857142857143
7b-128k,128000,0.1,0.7704081632653061,3.0816326530612246
7b-128k,128000,0.1,0.8072916666666666,3.2291666666666665
7b-128k,128000,0.1,0.796875,3.1875
7b-128k,128000,0.1,0.9127906976744186,3.6511627906976742
7b-128k,128000,0.1,0.8666666666666667,3.466666666666667
7b-128k,128000,0.1,0.8020833333333334,3.2083333333333335
7b-128k,128000,0.1,0.8666666666666667,3.466666666666667
7b-128k,128000,0.1,0.9695121951219512,3.8780487804878048
7b-128k,128000,0.1,0.8977272727272727,3.590909090909091
7b-128k,128000,0.1,0.6933962264150944,2.7735849056603774
7b-128k,128000,0.1,0.8532608695652174,3.4130434782608696
7b-128k,128000,0.1,0.9186046511627907,3.6744186046511627
7b-128k,128000,0.1,0.8611111111111112,3.4444444444444446
7b-128k,128000,0.1,0.8722222222222222,3.488888888888889
7b-128k,128000,0.1,0.8020833333333334,3.2083333333333335
7b-128k,128000,0.1,0.9186046511627907,3.6744186046511627
7b-128k,128000,0.1,0.8777777777777778,3.511111111111111
7b-128k,128000,0.1,0.7704081632653061,3.0816326530612246
7b-128k,128000,0.1,0.842391304347826,3.369565217391304
7b-128k,128000,0.1,0.9090909090909091,3.6363636363636362
7b-128k,128000,0.1,0.8478260869565217,3.391304347826087
7b-128k,128000,0.1,0.8611111111111112,3.4444444444444446
7b-128k,128000,0.1,0.9523809523809523,3.8095238095238093
7b-128k,128000,0.1,0.8777777777777778,3.511111111111111
7b-128k,128000,0.1,0.936046511627907,3.744186046511628
7b-128k,128000,0.1,0.8777777777777778,3.511111111111111
7b-128k,128000,0.1,0.8777777777777778,3.511111111111111
7b-128k,128000,0.1,0.8977272727272727,3.590909090909091
7b-128k,128000,0.1,0.9186046511627907,3.6744186046511627
7b-128k,128000,0.1,0.8722222222222222,3.488888888888889
7b-128k,128000,0.1,0.8351063829787234,3.3404255319148937
7b-128k,128000,0.1,0.8863636363636364,3.5454545454545454
7b-128k,128000,0.1,0.77,3.08
